symbol,detected,score,case,strength,horizon_days,horizon_tf,dormant,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
HEMIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,54,8,4,10,none,0.0,0,-0.01195,0.4926,1.42,222,79.8,,flow_dormant=отскока не было: 12.6% < 15.0% | flow_hidden=поток не растёт: наклон -0.01195 < 0.01 | flow_leverage=цена идёт: +31.9% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
CYSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32,1,0,3,none,0.0,0,0.02395,0.5109,15.69,1,66.5,,flow_dormant=база широка: 739.8% при падении 66.5% — доля 3.73 > 0.55 | flow_hidden=цена растёт: наклон 0.02358 > 0.002 | flow_leverage=цена идёт: +178.0% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
ACEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,130,11,8,10,up,0.313,0,-0.00238,0.4988,6.17,2,68.2,,flow_dormant=база широка: 517.1% при падении 68.2% — доля 2.42 > 0.55 | flow_hidden=цена растёт: наклон 0.01006 > 0.002 | flow_leverage=цена идёт: +112.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
COWUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,83,9,3,10,down,0.247,0,-0.00065,0.5,1.48,214,65.3,,"flow_dormant=цикла не было: рост до пика x1.48 < x3.0, за жизнь x3.92 при падении 92.0% | flow_hidden=поток не растёт: наклон -0.00065 < 0.01 | flow_leverage=цена идёт: +12.0% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95",
AKEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
APRUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
ZECUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,129,11,7,10,up,0.103,0,0.00767,0.5027,3.74,88,63.7,,flow_dormant=отскока не было: 11.1% < 15.0% | flow_hidden=цена растёт: наклон 0.00263 > 0.002 | flow_leverage=фандинг не отрицательный: 7.7% APR > -5.0% | flow_spring=событий за 24 баров 0 < 2,
HYPEUSDT,1,73,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,0.0,48.4,0.0,52.656499999999994,75,6,5,10,down,0.243,0,-0.01606,0.4921,3.76,61,33.6,,flow_dormant=падение 33.6% < 45.0% | flow_hidden=поток не растёт: наклон -0.01606 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=событий за 24 баров 0 < 2,
AIOUSDT,1,95,flow_fuel,экстремальный,2,дни,37.7,0.0,0.0,0.0,0.0,63.8,0.0,0.06695999999999999,90,9,7,10,none,0.0,0,-0.04853,0.48,3.94,66,85.9,,flow_hidden=поток не растёт: наклон -0.04853 < 0.01 | flow_leverage=цена идёт: +104.1% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
LINKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,53,1,0,10,up,0.107,0,-0.00298,0.4982,1.2,214,51.5,,flow_dormant=отскока не было: 5.1% < 15.0% | flow_hidden=цена растёт: наклон 0.00265 > 0.002 | flow_leverage=цена идёт: +14.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.74 > 0.95,
VELVETUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
HUSDT,1,83,flow_dormant,сильный,25,недели,52.5,0.0,0.0,0.0,0.0,54.1,0.0,0.046,108,9,6,10,none,0.0,0,-0.01366,0.4908,11.2,76,94.7,,flow_hidden=поток не растёт: наклон -0.01366 < 0.01 | flow_leverage=цена идёт: +63.8% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
BEATUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,66,7,3,3,up,0.127,0,-0.00749,0.4949,89.62,65,97.2,,flow_dormant=это уже движение: отскок 336.3% > 250.0% | flow_hidden=поток не растёт: наклон -0.00749 < 0.01 | flow_leverage=цена идёт: -87.5% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.49 > 0.95,
CHIPUSDT,1,69,flow_dormant,умеренный,7,неделя,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.02147,4,0,0,3,none,0.0,0,-0.02537,0.4878,4.9,115,84.7,,"flow_hidden=поток не растёт: наклон -0.02537 < 0.01 | flow_leverage=нет живых зон, сеть не запрашивалась | flow_spring=нет живых зон",
TUTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
PORTALUSDT,1,72,flow_dormant,сильный,25,недели,47.0,0.0,0.0,29.9,0.0,0.0,0.0,0.00926,126,13,8,10,none,0.0,0,-0.00711,0.4972,6.81,76,81.4,,flow_hidden=поток не растёт: наклон -0.00711 < 0.01 | flow_leverage=цена идёт: +35.4% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
WLDUSDT,1,93,flow_taker,экстремальный,25,недели,0.0,0.0,0.0,0.0,62.0,39.3,0.0,0.33690000000000003,88,8,6,10,none,0.0,0,-0.0263,0.4847,3.2,60,59.5,,flow_dormant=отскока не было: 11.4% < 15.0% | flow_hidden=поток не растёт: наклон -0.02630 < 0.01 | flow_leverage=фандинг не отрицательный: 0.1% APR > -5.0% | flow_spring=событий за 24 баров 1 < 2,
SPORTFUNUSDT,1,70,flow_taker,сильный,7,неделя,0.0,0.0,0.0,0.0,45.4,0.0,0.0,0.02274,37,3,3,3,up,0.193,0,-0.00661,0.4955,1.48,212,85.4,,"flow_dormant=цикла не было: рост до пика x1.48 < x3.0, за жизнь x1.18 при падении 85.4% | flow_hidden=поток не растёт: наклон -0.00661 < 0.01 | flow_leverage=фандинг не отрицательный: 18.7% APR > -5.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95",
BTWUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
AVAXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,53,3,3,10,none,0.0,0,-0.02318,0.4894,1.27,214,62.0,,flow_dormant=отскока не было: 9.6% < 15.0% | flow_hidden=поток не растёт: наклон -0.02318 < 0.01 | flow_leverage=фандинг не отрицательный: 4.9% APR > -5.0% | flow_spring=фон шумный: rel_vol 0.96 > 0.95,
PUMPUSDT,1,100,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.002345666666666667,39,7,3,10,none,0.0,0,0.00465,0.5021,2.0,200,65.8,,"flow_dormant=цикла не было: рост до пика x2.00 < x3.0, за жизнь x3.99 при падении 87.2% | flow_hidden=цена растёт: наклон 0.01342 > 0.002 | flow_leverage=цена идёт: +27.2% за 14 баров > 10.0% | flow_spring=диапазон широк: 45.3% > 35%",
XMRUSDT,1,90,flow_fuel,экстремальный,25,недели,0.0,0.0,0.0,0.0,0.0,64.5,0.0,387.08833333333337,103,8,7,10,up,0.245,0,0.00437,0.5027,1.94,214,65.6,,flow_dormant=отскока не было: 6.9% < 15.0% | flow_hidden=цена растёт: наклон 0.00444 > 0.002 | flow_leverage=цена идёт: +14.8% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.45 > 0.95,
